package,vuln_count,cvss_max,has_vuln,has_high_vuln,advisory_ids
django,305,9.8,1,1,GHSA-2655-q453-22f9;GHSA-296w-6qhq-gf92;GHSA-2f9x-5v75-3qv4;GHSA-2gwj-7jmv-h26r;GHSA-2hrw-hx67-34x6;GHSA-2m34-jcjv-45xf;GHSA-2mcm-79hx-8fxw;GHSA-337x-4q8g-prc5;GHSA-33mw-q7rj-mjwj;GHSA-37hp-765x-j95x;GHSA-3f2c-jm6v-cr35;GHSA-3gh2-xw74-jmcw;GHSA-3jqw-crqj-w8qw;GHSA-46x4-9jmv-jc8p;GHSA-4894-5vqc-6r2r;GHSA-4c42-4rxm-x6qf;GHSA-4rrr-2h4v-f3j9;GHSA-53qw-q765-4fww;GHSA-54qj-48vx-cr9f;GHSA-59w8-4wm2-4xw8;GHSA-5h2q-4hrp-v9rr;GHSA-5hg3-6c2f-f3wr;GHSA-5hgc-2vfp-mqvc;GHSA-5hrc-gvxj-w55p;GHSA-5j2h-h5hg-3wf8;GHSA-5mf9-h53q-7mhq;GHSA-625g-gx8c-xcmg;GHSA-6426-9fv3-65x8;GHSA-6565-fg86-6jcx;GHSA-68w8-qjq3-2gfm;GHSA-6c3j-c64m-qhgq;GHSA-6c7v-2f49-8h26;GHSA-6cw3-g6wv-c2xv;GHSA-6g95-x6cj-mg4v;GHSA-6mx3-3vqg-hpp2;GHSA-6r97-cj55-9hrq;GHSA-6w2r-r2m5-xq5w;GHSA-6wcr-wcqm-3mfh;GHSA-6wgp-fwfm-mxp3;GHSA-78vx-ggch-wghm;GHSA-795c-9xpc-xw6g;GHSA-7fq8-4pv5-5w5c;GHSA-7g9h-c88w-r7h2;GHSA-7h2m-m8vj-598h;GHSA-7h4p-27mh-hmrw;GHSA-7qfw-j7hp-v45g;GHSA-7rp2-fm2h-wchj;GHSA-7wph-fc4w-wqp2;GHSA-7xr5-9hcq-chf9;GHSA-8498-2h75-472j;GHSA-89hj-xfx5-7q66;GHSA-8c5j-9r9f-c6w8;GHSA-8j24-cjrq-gr2m;GHSA-8m3r-rv5g-fcpq;GHSA-8p8v-wh79-9r56;GHSA-8x94-hmjh-97hq;GHSA-933h-hp56-hf7m;GHSA-95rw-fx8r-36v6;GHSA-9cwg-mhxf-hh59;GHSA-9jmf-237g-qf46;GHSA-9r8w-6x8c-6jr9;GHSA-9v8h-57gv-qch6;GHSA-9xg7-gg9m-rmq9;GHSA-c4qh-4vgv-qc6g;GHSA-c8c8-9472-w52h;GHSA-cqf7-ff9h-7967;GHSA-crhm-qpjc-cm64;GHSA-f6f8-9mx6-9mx2;GHSA-f7cm-ccfp-3q4r;GHSA-fp6p-5xvw-m74f;GHSA-fr28-569j-53c4;GHSA-frmv-pr5f-9mcr;GHSA-fvgf-6h6h-3322;GHSA-fwr5-q9rx-294f;GHSA-fxpg-gg9g-76gj;GHSA-g8xg-jgj6-49r3;GHSA-gv98-g628-m9x5;GHSA-gvg8-93h5-g6qq;GHSA-h4hv-m4h4-mhwg;GHSA-h582-2pch-3xv3;GHSA-h5jv-4p7w-64jg;GHSA-h8gc-pgj2-vjm3;GHSA-h95j-h2rv-qrg4;GHSA-hmr4-m2h5-33qx;GHSA-hpr9-3m2g-3j9p;GHSA-hvmf-r92r-27hr;GHSA-j3j3-jrfh-cm2w;GHSA-jh3w-4vvf-mjgr;GHSA-jh75-99hh-qvx9;GHSA-jhjg-w2cp-5j44;GHSA-jrh2-hc4r-7jwx;GHSA-m6gj-h9gm-gw44;GHSA-m9g8-fxxm-xg86;GHSA-mjgh-79qc-68w3;GHSA-mmwr-2jhp-mc7j;GHSA-mv8g-fhh6-6267;GHSA-mvfq-ggxm-9mc5;GHSA-mwm9-4648-f68q;GHSA-mwv2-398h-v489;GHSA-p3fp-8748-vqfq;GHSA-p64x-8rxx-wf6q;GHSA-p6m5-h7pp-v2x5;GHSA-p99v-5w3c-jqq9;GHSA-pgxh-wfw4-jx2v;GHSA-pv4p-cwwg-4rph;GHSA-pw27-w7w4-9qc7;GHSA-pwjp-ccjc-ghwg;GHSA-q2jf-h9jm-m7p4;GHSA-q5qw-4364-5hhm;GHSA-q7q2-qf2q-rw3w;GHSA-q95w-c7qg-hrff;GHSA-qc99-g3wm-hgxr;GHSA-qcgg-j2x8-h9g8;GHSA-qg2p-9jwr-mmqf;GHSA-qm57-vhq3-3fwf;GHSA-qmf9-6jqf-j8fq;GHSA-qrh7-x6fp-c2mp;GHSA-qrw5-5h28-6cmg;GHSA-qw25-v68c-qjf3;GHSA-r28v-mw67-m5p9;GHSA-r3xc-prgr-mg9p;GHSA-r5cj-wv24-92p5;GHSA-r7w6-p47g-vj53;GHSA-r836-hh6v-rg5g;GHSA-rf4j-j272-fj86;GHSA-rm2j-x595-q9cj;GHSA-rqw2-ghq9-44m7;GHSA-rrqc-c2jx-6jgv;GHSA-rvq6-mrpv-m6rm;GHSA-rw75-m7gp-92m3;GHSA-rxjp-mfm9-w4wr;GHSA-v6rh-hp5x-86rv;GHSA-v9qg-3j8p-r63v;GHSA-vfq6-hq5r-27r6;GHSA-vjjp-9r83-22rc;GHSA-vm8q-m57g-pff3;GHSA-vq3h-3q7v-9prw;GHSA-vrcr-9hj9-jcg6;GHSA-w24h-v9qh-8gxj;GHSA-w26r-rmm8-9c29;GHSA-wh4h-v3f2-r2pp;GHSA-wpjr-j57x-wxfw;GHSA-wqfg-m96j-85vm;GHSA-wqjj-hx84-v449;GHSA-wxg3-mfph-qg9w;GHSA-x38m-486c-2wr9;GHSA-x64m-686f-fmm3;GHSA-x7q2-wr7g-xqmf;GHSA-x88j-93vc-wpmp;GHSA-xgxc-v2qg-chmh;GHSA-xpfp-f569-q3p2;GHSA-xxj9-f6rv-m3x4;PYSEC-2007-1;PYSEC-2008-1;PYSEC-2008-2;PYSEC-2009-3;PYSEC-2009-4;PYSEC-2010-12;PYSEC-2011-1;PYSEC-2011-10;PYSEC-2011-11;PYSEC-2011-12;PYSEC-2011-2;PYSEC-2011-28;PYSEC-2011-29;PYSEC-2011-3;PYSEC-2011-30;PYSEC-2011-31;PYSEC-2011-4;PYSEC-2011-5;PYSEC-2011-8;PYSEC-2011-9;PYSEC-2012-2;PYSEC-2012-3;PYSEC-2012-4;PYSEC-2012-7;PYSEC-2013-16;PYSEC-2013-17;PYSEC-2013-18;PYSEC-2013-19;PYSEC-2013-20;PYSEC-2013-21;PYSEC-2014-1;PYSEC-2014-19;PYSEC-2014-2;PYSEC-2014-20;PYSEC-2014-3;PYSEC-2014-4;PYSEC-2014-5;PYSEC-2014-6;PYSEC-2014-7;PYSEC-2015-10;PYSEC-2015-11;PYSEC-2015-18;PYSEC-2015-19;PYSEC-2015-20;PYSEC-2015-21;PYSEC-2015-22;PYSEC-2015-23;PYSEC-2015-4;PYSEC-2015-5;PYSEC-2015-6;PYSEC-2015-7;PYSEC-2015-8;PYSEC-2015-9;PYSEC-2016-14;PYSEC-2016-15;PYSEC-2016-16;PYSEC-2016-17;PYSEC-2016-18;PYSEC-2016-2;PYSEC-2016-3;PYSEC-2017-10;PYSEC-2017-44;PYSEC-2017-9;PYSEC-2018-2;PYSEC-2018-3;PYSEC-2018-4;PYSEC-2018-5;PYSEC-2018-6;PYSEC-2019-10;PYSEC-2019-11;PYSEC-2019-12;PYSEC-2019-13;PYSEC-2019-14;PYSEC-2019-15;PYSEC-2019-16;PYSEC-2019-17;PYSEC-2019-18;PYSEC-2019-79;PYSEC-2020-31;PYSEC-2020-32;PYSEC-2020-33;PYSEC-2020-34;PYSEC-2020-345;PYSEC-2020-35;PYSEC-2020-36;PYSEC-2021-109;PYSEC-2021-439;PYSEC-2021-6;PYSEC-2021-7;PYSEC-2021-8;PYSEC-2021-9;PYSEC-2021-98;PYSEC-2021-99;PYSEC-2022-1;PYSEC-2022-19;PYSEC-2022-190;PYSEC-2022-191;PYSEC-2022-2;PYSEC-2022-20;PYSEC-2022-213;PYSEC-2022-245;PYSEC-2022-3;PYSEC-2022-304;PYSEC-2023-100;PYSEC-2023-12;PYSEC-2023-13;PYSEC-2023-222;PYSEC-2023-225;PYSEC-2023-226;PYSEC-2023-61;PYSEC-2024-102;PYSEC-2024-156;PYSEC-2024-157;PYSEC-2024-28;PYSEC-2024-47;PYSEC-2024-56;PYSEC-2024-57;PYSEC-2024-58;PYSEC-2024-59;PYSEC-2024-67;PYSEC-2024-68;PYSEC-2024-69;PYSEC-2024-70;PYSEC-2025-1;PYSEC-2025-104;PYSEC-2025-105;PYSEC-2025-106;PYSEC-2025-107;PYSEC-2025-108;PYSEC-2025-109;PYSEC-2025-13;PYSEC-2025-14;PYSEC-2025-37;PYSEC-2025-47;PYSEC-2026-197;PYSEC-2026-198;PYSEC-2026-199;PYSEC-2026-200;PYSEC-2026-201;PYSEC-2026-42;PYSEC-2026-43;PYSEC-2026-44;PYSEC-2026-45;PYSEC-2026-46;PYSEC-2026-47;PYSEC-2026-48;PYSEC-2026-49;PYSEC-2026-50;PYSEC-2026-51;PYSEC-2026-52;PYSEC-2026-53;PYSEC-2026-54;PYSEC-2026-55
werkzeug,20,7.5,1,1,GHSA-29vq-49wr-vm6x;GHSA-2g68-c3qc-8985;GHSA-3p3h-qghp-hvh2;GHSA-87hc-h4r5-73f7;GHSA-f9vj-2wh5-fj8j;GHSA-gq9m-qvpx-68hc;GHSA-h2fp-xgx6-xh6f;GHSA-hgf8-39gv-g3f2;GHSA-hrfv-mqp8-q5rw;GHSA-j544-7q9p-6xp8;GHSA-px8h-6qxv-m22q;GHSA-q34m-jh98-gwm2;GHSA-xg9f-g7g7-2323;PYSEC-2017-43;PYSEC-2019-140;PYSEC-2020-157;PYSEC-2022-203;PYSEC-2023-221;PYSEC-2023-57;PYSEC-2023-58
dill,0,,0,0,
opentelemetry-exporter-otlp-proto-grpc,0,,0,0,
msgpack,0,,0,0,
zstandard,0,,0,0,
huggingface-hub,0,,0,0,
soupsieve,0,,0,0,
uvloop,0,,0,0,
beautifulsoup4,0,,0,0,
jsonpointer,0,,0,0,
text-unidecode,0,,0,0,
hf-xet,0,,0,0,
jiter,0,,0,0,
python-slugify,0,,0,0,
httptools,0,,0,0,
email-validator,0,,0,0,
docstring-parser,0,,0,0,
fonttools,2,7.5,1,1,GHSA-6673-4983-2vx5;GHSA-768j-98cg-p3fv
openai,0,,0,0,
azure-mgmt-core,0,,0,0,
tomlkit,0,,0,0,
blinker,0,,0,0,
xxhash,0,,0,0,
prompt-toolkit,0,,0,0,
contourpy,0,,0,0,
termcolor,0,,0,0,
threadpoolctl,0,,0,0,
structlog,0,,0,0,
docutils,2,9.1,1,1,GHSA-cg75-6938-wx58;PYSEC-2019-176
aiosqlite,0,,0,0,
flask,8,7.5,1,1,GHSA-4grg-w6v8-c28g;GHSA-562c-5r94-xh97;GHSA-5wv5-4vpf-pj6m;GHSA-68rp-wp8r-4726;GHSA-m2qf-hxjv-5gpq;PYSEC-2018-66;PYSEC-2019-179;PYSEC-2023-62
kiwisolver,0,,0,0,
torch,41,9.8,1,1,GHSA-3749-ghw9-m3mg;GHSA-47fc-vmwq-366v;GHSA-53q9-r3pm-6pq6;GHSA-5pcm-hx3q-hm94;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf;GHSA-f4hp-rmr7-r7v8;GHSA-pg7h-5qx3-wjr3;GHSA-qfhq-4f3w-5fph;GHSA-rrmf-rvhw-rf47;GHSA-vgrw-7cvw-pwgx;GHSA-x3gm-94wq-g975;PYSEC-2022-43015;PYSEC-2024-250;PYSEC-2024-251;PYSEC-2024-252;PYSEC-2024-259;PYSEC-2025-189;PYSEC-2025-190;PYSEC-2025-191;PYSEC-2025-192;PYSEC-2025-193;PYSEC-2025-194;PYSEC-2025-195;PYSEC-2025-196;PYSEC-2025-197;PYSEC-2025-198;PYSEC-2025-199;PYSEC-2025-200;PYSEC-2025-201;PYSEC-2025-202;PYSEC-2025-203;PYSEC-2025-204;PYSEC-2025-205;PYSEC-2025-206;PYSEC-2025-207;PYSEC-2025-208;PYSEC-2025-209;PYSEC-2025-210;PYSEC-2025-41;PYSEC-2026-139
matplotlib,0,,0,0,
cloudpickle,0,,0,0,
opentelemetry-instrumentation,1,7.5,1,1,GHSA-5rv5-6h4r-h22v
scikit-learn,6,9.8,1,1,GHSA-jjw5-xxj6-pcv5;GHSA-jw8x-6495-233v;GHSA-jxfp-4rvq-9h9m;PYSEC-2020-107;PYSEC-2020-108;PYSEC-2024-110
cycler,0,,0,0,
jsonpatch,0,,0,0,
azure-common,0,,0,0,
opentelemetry-exporter-otlp,0,,0,0,
mypy-extensions,0,,0,0,
tzlocal,0,,0,0,
decorator,0,,0,0,
nest-asyncio,0,,0,0,
marshmallow,3,5.3,1,0,GHSA-428g-f7cq-pgp5;GHSA-9q2p-fj49-vpxj;PYSEC-2018-67
ruamel-yaml,0,,0,0,
hyperframe,0,,0,0,
hpack,2,7.5,1,1,GHSA-ffq8-576r-v26g;PYSEC-2017-87
sortedcontainers,0,,0,0,
tiktoken,0,,0,0,
h2,1,4.0,1,0,GHSA-847f-9342-265h
argcomplete,0,,0,0,
httpx-sse,0,,0,0,
colorlog,0,,0,0,
smmap,0,,0,0,
pendulum,0,,0,0,
uc-micro-py,0,,0,0,
linkify-it-py,0,,0,0,
aiofiles,0,,0,0,
defusedxml,0,,0,0,
gitpython,15,9.8,1,1,GHSA-2mqj-m65w-jghx;GHSA-7545-fcxq-7j24;GHSA-cwvm-v4w8-q58c;GHSA-hcpj-qp55-gfph;GHSA-mv93-w799-cj2w;GHSA-pr76-5cm5-w9cj;GHSA-rpm5-65cw-6hj4;GHSA-v87r-6q3f-2j67;GHSA-wfm5-v35h-vwf4;GHSA-x2qx-6953-8485;PYSEC-2022-42992;PYSEC-2023-137;PYSEC-2023-161;PYSEC-2023-165;PYSEC-2024-4
gitdb,0,,0,0,
traitlets,0,,0,0,
tokenizers,0,,0,0,
markdown,2,7.5,1,1,GHSA-5wmx-573v-2qwq;PYSEC-2026-89
rich-toolkit,0,,0,0,
msrest,0,,0,0,
langchain-core,10,9.3,1,1,GHSA-2g6r-c272-w58r;GHSA-5chr-fjjv-38qv;GHSA-6qv9-48xg-fc7f;GHSA-926x-3r5x-gfhw;GHSA-c67j-w6g6-q2cm;GHSA-h59x-p739-982c;GHSA-pjwx-r37v-7724;GHSA-q84m-rmw3-4382;GHSA-qh6h-p6c9-ff54;PYSEC-2024-45
websocket-client,0,,0,0,
croniter,0,,0,0,
ptyprocess,0,,0,0,
pyopenssl,8,8.1,1,1,GHSA-2rcm-phc9-3945;GHSA-5pwr-322w-8jr4;GHSA-6748-36qp-fx6r;GHSA-p28m-34f6-967q;GHSA-vp96-hxj8-p424;PYSEC-2013-31;PYSEC-2018-23;PYSEC-2018-24
outcome,0,,0,0,
universal-pathlib,0,,0,0,
pydantic-extra-types,0,,0,0,
prometheus-client,0,,0,0,
msgspec,0,,0,0,
langsmith,3,7.1,1,1,GHSA-3644-q5cj-c5c7;GHSA-rr7j-v2q5-chgv;GHSA-v34v-rq6j-cj6p
libcst,0,,0,0,
watchdog,0,,0,0,
uuid-utils,0,,0,0,
setproctitle,0,,0,0,
pathlib-abc,0,,0,0,
bcrypt,0,,0,0,
sse-starlette,0,,0,0,
chardet,0,,0,0,
tornado,19,7.7,1,1,GHSA-3x9g-8vmp-wqvf;GHSA-753j-mpmx-qq6g;GHSA-78cv-mqj4-43f7;GHSA-7cx3-6m66-7c5m;GHSA-8vpw-mgpf-mpvv;GHSA-8w49-h785-mj3c;GHSA-cx3h-4qpv-8hc9;GHSA-f7fv-v9rh-prvc;GHSA-fqwm-6jpj-5wxc;GHSA-hj3f-6gcp-jg8j;GHSA-mgf9-4vpg-hj56;GHSA-pw6j-qg29-8w7f;GHSA-qjxf-f2mg-c6mc;GHSA-qppv-j76h-2rpx;GHSA-w235-7p84-xx57;PYSEC-2012-5;PYSEC-2020-213;PYSEC-2023-75;PYSEC-2026-140
griffelib,0,,0,0,
lazy-object-proxy,0,,0,0,
typing-inspect,0,,0,0,
fastapi-cli,0,,0,0,
mcp,3,8.0,1,1,GHSA-3qhf-m339-9g5v;GHSA-9h52-p55h-vw2f;GHSA-j975-95f5-7wqh
grpc-google-iam-v1,0,,0,0,
lockfile,0,,0,0,
pynacl,1,4.5,1,0,GHSA-mrfv-m5wm-5w6w
langchain-protocol,0,,0,0,
natsort,0,,0,0,
importlib-resources,0,,0,0,
apache-airflow-providers-common-sql,1,8.8,1,1,GHSA-5r62-mjf5-xwhj
msal,0,,0,0,
pexpect,0,,0,0,
google-cloud-core,0,,0,0,
redis,4,6.5,1,0,GHSA-24wv-mv5m-xv4h;GHSA-8fww-64cx-x8p5;PYSEC-2023-45;PYSEC-2023-46
python-daemon,0,,0,0,
executing,0,,0,0,
rich-argparse,0,,0,0,
cron-descriptor,0,,0,0,
webencodings,0,,0,0,
backoff,0,,0,0,
parso,1,,1,0,PYSEC-2019-109
pygtrie,0,,0,0,
antlr4-python3-runtime,0,,0,0,
toml,0,,0,0,
jedi,0,,0,0,
docker,0,,0,0,
asttokens,0,,0,0,
aiosmtplib,0,,0,0,
jaraco-functools,0,,0,0,
jaraco-context,1,8.6,1,1,GHSA-58pv-8j8x-9vj2
uuid6,0,,0,0,
apache-airflow-providers-common-compat,0,,0,0,
google-crc32c,0,,0,0,
apache-airflow,221,9.8,1,1,GHSA-2522-mrjc-m688;GHSA-269x-pg5c-5xgm;GHSA-273c-4g26-4jpm;GHSA-2h84-3crq-vgfj;GHSA-32wr-qqw6-5mfp;GHSA-3h4m-m55v-gx4m;GHSA-3q8r-f3pj-3gc4;GHSA-3qmm-r55x-hpxx;GHSA-3v7g-4pg3-7r6j;GHSA-3xxv-p78r-4fc6;GHSA-45r6-j3cc-6mxx;GHSA-4fg5-j4mm-wfpg;GHSA-4fhm-p86v-hwpx;GHSA-4g48-54q2-fg7q;GHSA-4jh2-3c85-q67h;GHSA-4m3h-wp5w-5hqh;GHSA-4pwq-fj89-6rjc;GHSA-52gm-qmg3-r4qp;GHSA-5938-79hg-xh3q;GHSA-5946-8p38-vffp;GHSA-5f35-pq34-c87q;GHSA-5ff8-7639-6v6g;GHSA-5g2w-9f8g-g5q7;GHSA-5rp4-749p-vx26;GHSA-65xw-pcqw-hjrh;GHSA-666g-rfc5-c9jv;GHSA-68wv-rjrm-576p;GHSA-6m9r-7wrx-xmr6;GHSA-6pw3-8h9w-32gc;GHSA-6r3p-fcvm-xh7c;GHSA-6v6w-h8m6-7mv2;GHSA-6xwf-xvf3-v459;GHSA-77rc-x84q-pv4f;GHSA-7c2f-r6gc-h92h;GHSA-7mx5-x372-xh87;GHSA-7wqf-h36w-47mc;GHSA-86vp-x3pr-79rx;GHSA-8f57-wcmg-4jmh;GHSA-8fg4-j562-mjrc;GHSA-8p7v-2jvj-v54r;GHSA-8r55-rv5w-6pfm;GHSA-8x34-9q3v-h7g8;GHSA-92xg-gmrq-5c3w;GHSA-976r-qfjj-c24w;GHSA-99cv-8cvv-666c;GHSA-9g2w-5f3v-mfmm;GHSA-9gqg-3fxr-9hv7;GHSA-9qqg-mh7c-chfq;GHSA-9xpj-62mm-24h2;GHSA-c392-whpc-vfpr;GHSA-c3c6-f2ww-xfr2;GHSA-c732-xvv8-g94c;GHSA-c92r-g8j5-vhcx;GHSA-cff3-5qrp-hqx7;GHSA-cgx2-rrmr-jx43;GHSA-cvcq-gmc3-q6m8;GHSA-f9fq-78ch-4wmj;GHSA-ffw3-6mp6-jmvj;GHSA-fh37-cx83-q542;GHSA-fpxx-xv4c-gxqp;GHSA-fv47-pqh6-wxgq;GHSA-fvw2-2pf7-77vw;GHSA-g5hv-r743-v8pm;GHSA-gfw7-2v73-69wg;GHSA-ggwr-4vr8-g7wv;GHSA-gp5f-cx7h-8q6f;GHSA-h574-6646-vfxx;GHSA-h63r-9xxf-f2c7;GHSA-h6g5-wqqr-3mw3;GHSA-h88f-r7cw-8fv3;GHSA-hhx9-p69v-cx2j;GHSA-hm9r-7f84-25c9;GHSA-j38c-25fj-mr84;GHSA-j3w8-2p2h-mrr9;GHSA-j482-47xf-p25c;GHSA-j857-2pwm-jjmm;GHSA-j86x-fwp2-qh7v;GHSA-jchm-fm4q-c2fp;GHSA-m6h2-jx9v-58w6;GHSA-mc4f-r875-v87w;GHSA-mg2x-mggj-6955;GHSA-mjff-wv85-hmcj;GHSA-mjqh-v5f2-g2mw;GHSA-p3v3-229h-mc63;GHSA-phv5-vq5p-qhp7;GHSA-pm44-x5x7-24c4;GHSA-pm87-24wq-r8w9;GHSA-pxch-wr7m-rwxj;GHSA-q2hg-643c-gw8h;GHSA-q475-2pgm-7hvp;GHSA-q4p3-qw5c-mhpc;GHSA-q8h9-pqcx-59hw;GHSA-r7vr-m4jw-r794;GHSA-r7x6-xfcm-3mxv;GHSA-r837-hpv7-pc2f;GHSA-rg94-84xj-7gq3;GHSA-rjvg-q57v-mjjc;GHSA-rmf2-pwfq-h75j;GHSA-rv25-9wgj-xg75;GHSA-rvmq-4x66-q7j3;GHSA-v3c9-j6h9-66v4;GHSA-vcf6-3wv2-5vcr;GHSA-vm5m-qmrx-fw8w;GHSA-w6j4-3gh2-9f5j;GHSA-w7cp-g8v7-r54m;GHSA-w7rc-q6cm-f5gm;GHSA-w9r4-94fj-xp69;GHSA-wpg8-mf6h-gm92;GHSA-wrpj-755p-x363;GHSA-x2mh-8fmc-rqgh;GHSA-x3fv-96qh-67m7;GHSA-xvw9-3mhm-xjqq;PYSEC-2018-45;PYSEC-2019-142;PYSEC-2019-143;PYSEC-2019-147;PYSEC-2019-148;PYSEC-2019-149;PYSEC-2019-214;PYSEC-2019-215;PYSEC-2019-216;PYSEC-2020-14;PYSEC-2020-15;PYSEC-2020-16;PYSEC-2020-162;PYSEC-2020-17;PYSEC-2020-18;PYSEC-2020-19;PYSEC-2020-20;PYSEC-2020-21;PYSEC-2020-22;PYSEC-2020-23;PYSEC-2020-262;PYSEC-2021-122;PYSEC-2021-2;PYSEC-2021-3;PYSEC-2021-326;PYSEC-2021-4;PYSEC-2022-11;PYSEC-2022-261;PYSEC-2022-263;PYSEC-2022-279;PYSEC-2022-280;PYSEC-2022-29;PYSEC-2022-30;PYSEC-2022-42970;PYSEC-2022-42971;PYSEC-2022-42981;PYSEC-2022-42982;PYSEC-2022-42983;PYSEC-2022-42984;PYSEC-2023-103;PYSEC-2023-104;PYSEC-2023-105;PYSEC-2023-106;PYSEC-2023-119;PYSEC-2023-134;PYSEC-2023-136;PYSEC-2023-152;PYSEC-2023-158;PYSEC-2023-170;PYSEC-2023-171;PYSEC-2023-197;PYSEC-2023-2;PYSEC-2023-202;PYSEC-2023-203;PYSEC-2023-204;PYSEC-2023-218;PYSEC-2023-231;PYSEC-2023-232;PYSEC-2023-264;PYSEC-2023-265;PYSEC-2023-266;PYSEC-2023-267;PYSEC-2023-3;PYSEC-2023-314;PYSEC-2023-59;PYSEC-2023-60;PYSEC-2023-89;PYSEC-2024-13;PYSEC-2024-14;PYSEC-2024-181;PYSEC-2024-182;PYSEC-2024-189;PYSEC-2024-190;PYSEC-2024-195;PYSEC-2024-212;PYSEC-2024-245;PYSEC-2024-264;PYSEC-2024-265;PYSEC-2024-266;PYSEC-2024-42;PYSEC-2024-46;PYSEC-2025-85;PYSEC-2025-86;PYSEC-2025-87;PYSEC-2026-10;PYSEC-2026-11;PYSEC-2026-12;PYSEC-2026-13;PYSEC-2026-14;PYSEC-2026-15;PYSEC-2026-16;PYSEC-2026-17;PYSEC-2026-171;PYSEC-2026-172;PYSEC-2026-173;PYSEC-2026-174;PYSEC-2026-18;PYSEC-2026-181;PYSEC-2026-182;PYSEC-2026-183;PYSEC-2026-184;PYSEC-2026-185;PYSEC-2026-186;PYSEC-2026-187;PYSEC-2026-19;PYSEC-2026-20;PYSEC-2026-21;PYSEC-2026-8;PYSEC-2026-9
jeepney,0,,0,0,
dataclasses-json,0,,0,0,
pyzmq,0,,0,0,
python-json-logger,0,,0,0,
cadwyn,2,7.6,1,1,GHSA-2gxp-6r36-m97r;PYSEC-2025-71
fastjsonschema,0,,0,0,
wirerope,0,,0,0,
mpmath,2,7.5,1,1,GHSA-f865-m6cq-j9vx;PYSEC-2021-427
toolz,0,,0,0,
apache-airflow-providers-smtp,3,5.9,1,0,GHSA-5f35-pq34-c87q;GHSA-x8mh-94wc-33gv;PYSEC-2026-24
paramiko,10,9.8,1,1,GHSA-232r-66cg-79px;GHSA-45x7-px36-x8w8;GHSA-f2j6-wrhh-v25m;GHSA-f8q4-jwww-x3wv;GHSA-r374-rxx8-8654;GHSA-wqmm-q65g-2hqr;PYSEC-2008-8;PYSEC-2018-19;PYSEC-2018-69;PYSEC-2022-166
pure-eval,0,,0,0,
jaraco-classes,0,,0,0,
narwhals,0,,0,0,
a2wsgi,0,,0,0,
lark,0,,0,0,
secretstorage,0,,0,0,
jupyter-core,3,8.8,1,1,GHSA-33p9-3p43-82vq;GHSA-m678-f26j-3hrp;PYSEC-2022-42974
methodtools,0,,0,0,
sympy,0,,0,0,
msal-extensions,0,,0,0,
pip,19,8.4,1,1,GHSA-4gv5-qhvr-36vv;GHSA-4xh5-x5gv-qwph;GHSA-53mr-44pp-crf4;GHSA-58qw-9mgm-455v;GHSA-5xp3-jfq3-5q8x;GHSA-6vgw-5pg2-w6jp;GHSA-c5h8-cq4v-cvfm;GHSA-g3p5-fjj9-h8gj;GHSA-gpvv-69j7-gwj8;GHSA-jp4c-xjxw-mgf9;GHSA-mq26-g339-26xf;PYSEC-2013-8;PYSEC-2013-9;PYSEC-2014-11;PYSEC-2019-160;PYSEC-2020-173;PYSEC-2021-437;PYSEC-2023-228;PYSEC-2026-196
matplotlib-inline,0,,0,0,
ipython,16,9.8,1,1,GHSA-29gw-9793-fvw7;GHSA-4vwq-x64q-j4cj;GHSA-66gw-5xpf-gfp5;GHSA-75cw-5cgv-g853;GHSA-7fc2-rm35-2pp7;GHSA-92mr-v722-f48m;GHSA-pq7m-3gw7-gq5x;GHSA-q326-jhw3-699g;PYSEC-2014-21;PYSEC-2015-24;PYSEC-2015-25;PYSEC-2017-45;PYSEC-2017-46;PYSEC-2017-47;PYSEC-2022-12;PYSEC-2023-17
backports-strenum,0,,0,0,
stack-data,0,,0,0,
greenback,0,,0,0,
nltk,22,10.0,1,1,GHSA-2ww3-fxvq-293j;GHSA-469j-vmhf-r6v7;GHSA-68j8-pq59-fqgm;GHSA-7p94-766c-hgjp;GHSA-cgvx-9447-vcch;GHSA-f8m6-h2c7-8h9x;GHSA-gfwx-w7gr-fvh7;GHSA-h8wq-7xc4-p3qx;GHSA-jm6w-m3j8-898g;GHSA-mr7p-25v2-35wr;GHSA-p4gq-832x-fm9v;GHSA-rf74-v2fm-23pw;GHSA-rqjh-jp2r-59cj;PYSEC-2019-106;PYSEC-2021-356;PYSEC-2021-859;PYSEC-2022-5;PYSEC-2024-167;PYSEC-2026-96;PYSEC-2026-97;PYSEC-2026-98;PYSEC-2026-99
azure-identity,1,5.5,1,0,GHSA-m5vv-6r4h-3vj9
apache-airflow-providers-common-io,0,,0,0,
keyring,6,7.5,1,1,GHSA-8867-vpm3-g98g;GHSA-p3h7-3c45-qj4v;GHSA-p86x-652p-6385;PYSEC-2012-8;PYSEC-2019-181;PYSEC-2019-182
backports-tarfile,0,,0,0,
eval-type-backport,0,,0,0,
rfc3339-validator,0,,0,0,
apache-airflow-core,4,7.5,1,1,GHSA-6ffj-2wg2-w45j;GHSA-h97w-pm3w-mwmc;GHSA-w7cf-2pmc-5m4c;GHSA-w9r4-94fj-xp69
opentelemetry-semantic-conventions-ai,0,,0,0,
svcs,0,,0,0,
sphinx,0,,0,0,
databricks-sdk,0,,0,0,
ml-dtypes,0,,0,0,
