package,vuln_count,cvss_max,has_vuln,has_high_vuln,advisory_ids
aiohttp,52,9.1,1,1,GHSA-27mf-ghqm-j3j8;GHSA-2fqr-mr3j-6wp8;GHSA-2vrm-gr82-f7m5;GHSA-3wq7-rqq7-wx6j;GHSA-45c4-8wx5-qw6w;GHSA-4fvr-rgm6-gqmc;GHSA-4m7w-qmgq-4wj5;GHSA-54jq-c3m8-4m76;GHSA-5h86-8mv2-jq9f;GHSA-5m98-qgg9-wh84;GHSA-63hf-3vf5-4wqf;GHSA-63hw-fmq6-xxg2;GHSA-69f9-5gxw-wvc2;GHSA-6jhg-hg63-jvvf;GHSA-6mq8-rvhq-8wgg;GHSA-7gpw-8wmc-pm8g;GHSA-8495-4g3g-x7pr;GHSA-8qpw-xqxj-h4r2;GHSA-9548-qrrj-x5pj;GHSA-966j-vmvw-g2g9;GHSA-9x8q-7h8h-wcw9;GHSA-c427-h43c-vf67;GHSA-fh55-r93g-j68g;GHSA-g3cq-j2xw-wf74;GHSA-g84x-mcqj-x9qq;GHSA-gfw2-4jvh-wgfg;GHSA-hcc4-c3v8-rx92;GHSA-hg6j-4rv6-33pg;GHSA-hpj7-wq8m-9hgp;GHSA-jg22-mg44-37j8;GHSA-jj3x-wxrx-4x23;GHSA-jwhx-xcg6-8xhj;GHSA-m5qp-6w8w-w647;GHSA-m6qw-4cw2-hm4m;GHSA-mqqc-3gqh-h2x8;GHSA-mwh4-6h8g-pg8w;GHSA-p998-jp59-783m;GHSA-pjjw-qhg8-p2p9;GHSA-q3qx-c6g2-7pw2;GHSA-qvrw-v9rv-5rjx;GHSA-v6wp-4m6f-gcjg;GHSA-w2fm-2cpv-w7v5;GHSA-xcgm-r5h9-7989;GHSA-xx9p-xxvh-7g8j;PYSEC-2021-76;PYSEC-2023-120;PYSEC-2023-246;PYSEC-2023-247;PYSEC-2023-250;PYSEC-2023-251;PYSEC-2024-24;PYSEC-2024-26
rpds-py,0,,0,0,
jsonschema,0,,0,0,
referencing,0,,0,0,
frozenlist,0,,0,0,
python-dotenv,1,6.6,1,0,GHSA-mf9w-mj56-hr94
pyjwt,18,7.5,1,1,GHSA-752w-5fwx-jx9f;GHSA-75c5-xw7c-p5pm;GHSA-993g-76c3-p5m4;GHSA-ffqj-6fqr-9h24;GHSA-fhv5-28vv-h8m8;GHSA-jq35-7prp-9v3f;GHSA-r9jw-mwhq-wp62;GHSA-w7vc-732c-9m39;GHSA-xgmm-8j9v-c9wx;PYSEC-2017-24;PYSEC-2022-202;PYSEC-2025-183;PYSEC-2026-120;PYSEC-2026-175;PYSEC-2026-176;PYSEC-2026-177;PYSEC-2026-178;PYSEC-2026-179
jsonschema-specifications,0,,0,0,
aiohappyeyeballs,0,,0,0,
aiosignal,0,,0,0,
googleapis-common-protos,0,,0,0,
platformdirs,0,,0,0,
async-timeout,0,,0,0,
annotated-doc,0,,0,0,
pandas,1,,1,0,PYSEC-2020-73
pluggy,0,,0,0,
wrapt,0,,0,0,
opentelemetry-api,0,,0,0,
pyasn1,2,7.5,1,1,GHSA-63vm-454h-vhhq;GHSA-jr27-m4p2-rc6r
setuptools,7,8.8,1,1,GHSA-27x4-j476-jp5f;GHSA-5rjg-fvgr-3xxf;GHSA-cx63-2mw6-8hw5;GHSA-r9hx-vwmv-q579;PYSEC-2013-22;PYSEC-2022-43012;PYSEC-2025-49
greenlet,0,,0,0,
tenacity,0,,0,0,
shellingham,0,,0,0,
opentelemetry-semantic-conventions,0,,0,0,
tzdata,0,,0,0,
opentelemetry-sdk,0,,0,0,
pytz,0,,0,0,
pyasn1-modules,0,,0,0,
typer,0,,0,0,
sniffio,0,,0,0,
pillow,119,9.8,1,1,GHSA-3c5c-7235-994j;GHSA-3f63-hfp8-52jq;GHSA-3wvg-mj6g-m9cv;GHSA-3xv8-3j54-hgrp;GHSA-43fq-w8qq-v88h;GHSA-44wm-f244-xhp3;GHSA-4fx9-vc88-q2xc;GHSA-57h3-9rgr-c24m;GHSA-5gm3-px64-rw72;GHSA-5xmw-vc9v-4wf2;GHSA-7534-mm45-c74v;GHSA-77gc-v2xv-rvvh;GHSA-7r7m-5h27-29hp;GHSA-8843-m7mw-mxqm;GHSA-8ghj-p4vj-mr35;GHSA-8m9x-pxwq-j236;GHSA-8vj2-vxx3-667w;GHSA-8xjq-8fcg-g5hw;GHSA-8xjv-v9xq-m5h9;GHSA-95q3-8gr9-gm8w;GHSA-98vv-pw6r-q6q4;GHSA-9hx2-hgq2-2g4f;GHSA-9j59-75qj-795w;GHSA-cfh3-3jmp-rvhc;GHSA-cfmr-38g9-f2h7;GHSA-cqhg-xjhh-p8hf;GHSA-f4w8-cv6p-x6r5;GHSA-f5g8-5qq7-938w;GHSA-g6rj-rv7j-xwp4;GHSA-h5rf-vgqx-wjv2;GHSA-hf64-x4gq-p99h;GHSA-hggx-3h72-49ww;GHSA-hj69-c76v-86wr;GHSA-hjfx-8p6c-g7gx;GHSA-hr8g-f6r6-mr22;GHSA-hvr8-466p-75rh;GHSA-j6f7-g425-4gmx;GHSA-j7hp-h8jx-5ppr;GHSA-j7mj-748x-7p78;GHSA-jgpv-4h4c-xhw3;GHSA-m2vv-5vj5-2hm7;GHSA-mvg9-xffr-p774;GHSA-p43w-g3c5-g5mq;GHSA-p49h-hjvm-jg3h;GHSA-pw3c-h7wp-cvhx;GHSA-pwv6-vv43-88gr;GHSA-q4mp-jvh2-76fj;GHSA-q5hq-fp76-qmrc;GHSA-r73j-pqj5-w3x7;GHSA-r7rm-8j6h-r933;GHSA-r854-96gq-rfg3;GHSA-rwr3-c2q8-gm56;GHSA-rwv7-3v45-hg29;GHSA-v9pc-9mvp-x87g;GHSA-vcqg-3p29-xw73;GHSA-vj42-xq3r-hr3r;GHSA-vqcj-wrf2-7v73;GHSA-w4vg-rf63-f3j3;GHSA-whj4-6x5x-4v2j;GHSA-wjx4-4jcj-g98j;GHSA-x895-2wrm-hvp7;GHSA-xg8h-j46f-w952;GHSA-xrcv-f9gm-v42c;OSV-2022-1074;OSV-2022-715;PYSEC-2014-10;PYSEC-2014-22;PYSEC-2014-23;PYSEC-2014-87;PYSEC-2015-15;PYSEC-2015-16;PYSEC-2016-19;PYSEC-2016-5;PYSEC-2016-6;PYSEC-2016-7;PYSEC-2016-8;PYSEC-2016-9;PYSEC-2017-92;PYSEC-2019-110;PYSEC-2020-172;PYSEC-2020-76;PYSEC-2020-77;PYSEC-2020-78;PYSEC-2020-79;PYSEC-2020-80;PYSEC-2020-81;PYSEC-2020-82;PYSEC-2020-83;PYSEC-2020-84;PYSEC-2021-137;PYSEC-2021-138;PYSEC-2021-139;PYSEC-2021-317;PYSEC-2021-331;PYSEC-2021-35;PYSEC-2021-36;PYSEC-2021-37;PYSEC-2021-38;PYSEC-2021-39;PYSEC-2021-40;PYSEC-2021-41;PYSEC-2021-42;PYSEC-2021-69;PYSEC-2021-70;PYSEC-2021-71;PYSEC-2021-92;PYSEC-2021-93;PYSEC-2021-94;PYSEC-2022-10;PYSEC-2022-168;PYSEC-2022-42979;PYSEC-2022-42980;PYSEC-2022-43145;PYSEC-2022-8;PYSEC-2022-9;PYSEC-2023-175;PYSEC-2023-227;PYSEC-2025-61;PYSEC-2026-165
google-auth,0,,0,0,
sqlalchemy,6,9.8,1,1,GHSA-38fc-9xqv-7f7q;GHSA-887w-45rq-vxgf;GHSA-hfg2-wf6j-x53p;PYSEC-2012-9;PYSEC-2019-123;PYSEC-2019-124
psutil,2,7.5,1,1,GHSA-qfc5-mcwq-26q8;PYSEC-2019-41
isodate,0,,0,0,
