seed,combined_score,mean_blast_radius,std_blast_radius,ci_95_lower,ci_95_upper,max_blast_radius,min_blast_radius,mean_depth,max_depth,blast_rank
setuptools,0.3746,48.7990,5.7895,48.4402,49.1578,71,30,2.1270,4,89
pyparsing,0.3517,46.2090,7.6961,45.7320,46.6860,69,22,2.2950,4,90
google-api-core,0.3411,45.7020,6.0393,45.3277,46.0763,66,26,2.2270,4,91
jmespath,0.3437,43.2190,8.7122,42.6790,43.7590,64,21,2.3030,4,92
wcwidth,0.3379,42.4890,8.1735,41.9824,42.9956,62,17,2.6140,5,93
distro,0.3393,41.7880,7.6010,41.3169,42.2591,61,18,2.3380,4,94
colorama,0.3416,39.2470,6.4636,38.8464,39.6476,57,19,2.4630,4,95
iniconfig,0.3392,39.0830,10.0416,38.4606,39.7054,64,14,2.0390,3,96
grpcio-status,0.3391,36.2280,4.8898,35.9249,36.5311,51,16,2.0620,4,97
pytest,0.3387,28.3440,4.5550,28.0617,28.6263,46,15,1.6820,3,98
boto3,0.3405,23.5220,4.0665,23.2700,23.7740,41,11,1.8320,4,99
marshmallow,0.3815,19.9830,5.1536,19.6636,20.3024,35,4,2.0650,4,100
