package,in_degree_centrality,out_degree_centrality,structural_metric,structural,pagerank,in_degree_centrality_norm,structural_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
typing-extensions,0.49277000,0.00000000,katz,0.54250691,0.09202897,1.00000000,1.00000000,1.00000000,1.00000000,0.98418000,0.99209000,1
idna,0.26321735,0.00000000,katz,0.26658142,0.01186443,0.53415864,0.49010166,0.12774237,0.35617219,0.92457000,0.64037109,2
certifi,0.24853141,0.00000000,katz,0.23657395,0.01229497,0.50435580,0.43464916,0.13242701,0.33118696,0.91868900,0.62493798,3
urllib3,0.22616358,0.00000000,katz,0.20520039,0.01009057,0.45896378,0.37667219,0.10844131,0.28995274,0.91042700,0.60018987,4
charset-normalizer,0.20786263,0.00000000,katz,0.19176337,0.00881517,0.42182485,0.35184115,0.09456385,0.26642615,0.89888300,0.58265458,5
requests,0.20469950,0.00090375,katz,0.17262448,0.00694706,0.41540578,0.31647332,0.07423734,0.24431204,0.89953100,0.57192152,6
packaging,0.17555355,0.00000000,katz,0.14283740,0.00867748,0.35625860,0.26142808,0.09306566,0.21779074,0.88844800,0.55311937,7
six,0.15657479,0.00000000,katz,0.14871243,0.01432822,0.31774415,0.27228488,0.15455049,0.23655594,0.86545700,0.55100647,8
pycparser,0.11568007,0.00000000,katz,0.12474141,0.00973499,0.23475470,0.22798749,0.10457234,0.18031323,0.83342700,0.50687012,9
numpy,0.11319476,0.00000000,katz,0.08504988,0.01597224,0.22971114,0.15463925,0.17243886,0.18052706,0.83203900,0.50628303,10
python-dateutil,0.13104383,0.00022594,katz,0.11559167,0.00531596,0.26593306,0.21107916,0.05648954,0.16295679,0.84870200,0.50582939,11
cffi,0.11545413,0.00022594,katz,0.11340129,0.00526213,0.23429619,0.20703142,0.05590382,0.15339657,0.83503100,0.49421379,12
exceptiongroup,0.12584727,0.00022594,katz,0.13236153,0.00445692,0.25538744,0.24206913,0.04714252,0.16742806,0.81951300,0.49347053,13
pyyaml,0.11500226,0.00000000,katz,0.10263942,0.00492878,0.23337918,0.18714396,0.05227666,0.14475584,0.83505100,0.48990342,14
click,0.10664257,0.00000000,katz,0.10395946,0.00485973,0.21641449,0.18958333,0.05152536,0.14106793,0.82606200,0.48356497,15
attrs,0.10415725,0.00000000,katz,0.11426332,0.00388741,0.21137093,0.20862443,0.04094577,0.14223959,0.82125000,0.48174480,16
pydantic-core,0.10302756,0.00022594,katz,0.11088449,0.00289323,0.20907840,0.20238049,0.03012821,0.13515406,0.82164400,0.47839903,17
pygments,0.09873475,0.00000000,katz,0.10387694,0.00363282,0.20036680,0.18943085,0.03817554,0.13166272,0.82127600,0.47646936,18
annotated-types,0.10302756,0.00000000,katz,0.11088449,0.00289323,0.20907840,0.20238049,0.03012821,0.13515406,0.81776900,0.47646153,19
typing-inspection,0.10302756,0.00022594,katz,0.11088449,0.00289323,0.20907840,0.20238049,0.03012821,0.13515406,0.81610600,0.47563003,20
pydantic,0.10302756,0.00090375,katz,0.10092850,0.00239860,0.20907840,0.18398226,0.02474622,0.12656188,0.82422100,0.47539144,21
cryptography,0.10167194,0.00067781,katz,0.09323214,0.00304854,0.20632737,0.16975972,0.03181815,0.12372500,0.82606200,0.47489350,22
anyio,0.09805694,0.00067781,katz,0.10229040,0.00229958,0.19899129,0.18649898,0.02366884,0.12449000,0.81618200,0.47033600,23
zipp,0.08992318,0.00000000,katz,0.10712671,0.00637567,0.18248510,0.19543627,0.06802008,0.14123200,0.79628800,0.46876000,24
h11,0.09263443,0.00000000,katz,0.09748609,0.00300979,0.18798716,0.17762084,0.03139647,0.12172267,0.80891400,0.46531834,25
markupsafe,0.08563037,0.00000000,katz,0.09193009,0.00516499,0.17377350,0.16735359,0.05484685,0.12395587,0.79729300,0.46062444,26
protobuf,0.07591505,0.00000000,katz,0.09521690,0.00484734,0.15405777,0.17342747,0.05139060,0.11977030,0.78960900,0.45468965,27
importlib-metadata,0.08246724,0.00022594,katz,0.09305386,0.00315595,0.16735442,0.16943026,0.03298686,0.11433394,0.78922600,0.45177997,28
httpx,0.08111161,0.00022594,katz,0.07583829,0.00147839,0.16460339,0.13761664,0.01473356,0.09521010,0.79411500,0.44466255,29
httpcore,0.08111161,0.00045188,katz,0.07583829,0.00147839,0.16460339,0.13761664,0.01473356,0.09521010,0.79367000,0.44444005,30
jinja2,0.07840036,0.00022594,katz,0.07294923,0.00213057,0.15910133,0.13227779,0.02182984,0.09480449,0.78663300,0.44071875,31
tomli,0.07207411,0.00000000,katz,0.06979691,0.00462582,0.14626318,0.12645243,0.04898025,0.10041624,0.76795600,0.43418612,32
mdurl,0.06507004,0.00000000,katz,0.08720947,0.00338521,0.13204952,0.15863009,0.03548132,0.10272544,0.76562300,0.43417422,33
markdown-it-py,0.06484410,0.00022594,katz,0.07928134,0.00182984,0.13159101,0.14397924,0.01855758,0.09071352,0.76744200,0.42907776,34
rich,0.06258473,0.00067781,katz,0.07071498,0.00125591,0.12700596,0.12814899,0.01231278,0.08152875,0.76437000,0.42294938,35
tqdm,0.05625847,0.00000000,katz,0.04123368,0.00182411,0.11416781,0.07366882,0.01849528,0.06172415,0.75048800,0.40610608,36
rpds-py,0.04563940,0.00000000,katz,0.06476770,0.00122460,0.09261807,0.11715867,0.01197216,0.06894892,0.73093600,0.39994246,37
grpcio,0.04812472,0.00022594,katz,0.05525577,0.00148509,0.09766162,0.09958104,0.01480642,0.06519134,0.73223400,0.39871267,38
multidict,0.04857659,0.00022594,katz,0.04041215,0.00123033,0.09857863,0.07215068,0.01203444,0.05471117,0.74009100,0.39740109,39
fsspec,0.04473565,0.00000000,katz,0.05053019,0.00086750,0.09078404,0.09084838,0.00808656,0.05772757,0.73654400,0.39713578,40
referencing,0.04541347,0.00067781,katz,0.05887973,0.00095424,0.09215956,0.10627796,0.00903032,0.06384930,0.72915600,0.39650265,41
googleapis-common-protos,0.04428378,0.00022594,katz,0.05750746,0.00114811,0.08986703,0.10374206,0.01113979,0.06323240,0.72662400,0.39492820,42
propcache,0.04676909,0.00000000,katz,0.03918843,0.00118578,0.09491059,0.06988929,0.01154976,0.05280881,0.73660300,0.39470590,43
jsonschema-specifications,0.04450972,0.00090375,katz,0.05297434,0.00073932,0.09032554,0.09536504,0.00669188,0.05863590,0.72699600,0.39281595,44
yarl,0.04631722,0.00090375,katz,0.03547530,0.00094850,0.09399358,0.06302758,0.00896793,0.04914522,0.73630600,0.39272561,45
annotated-doc,0.04292815,0.00000000,katz,0.05831832,0.00067342,0.08711600,0.10524049,0.00597476,0.06100308,0.72435900,0.39268104,46
jsonschema,0.04473565,0.00112969,katz,0.04840734,0.00064358,0.09078404,0.08692542,0.00565011,0.05537995,0.72930500,0.39234248,47
opentelemetry-api,0.04338003,0.00067781,katz,0.05872527,0.00133025,0.08803301,0.10599251,0.01312170,0.06435431,0.72004200,0.39219816,48
python-dotenv,0.04270221,0.00000000,katz,0.05029098,0.00071155,0.08665750,0.09040633,0.00638970,0.05586247,0.72777900,0.39182073,49
async-timeout,0.05173972,0.00000000,katz,0.03979684,0.00190211,0.10499771,0.07101361,0.01934401,0.05884179,0.72469400,0.39176790,50
wrapt,0.04270221,0.00000000,katz,0.04842528,0.00212344,0.08665750,0.08695858,0.02175227,0.06080078,0.72096200,0.39088139,51
pyjwt,0.04270221,0.00022594,katz,0.04610708,0.00084763,0.08665750,0.08267466,0.00787038,0.05374866,0.72769200,0.39072033,52
frozenlist,0.04338003,0.00000000,katz,0.03666667,0.00121847,0.08803301,0.06522919,0.01190542,0.04960064,0.72784900,0.38872482,53
aiohttp,0.04450972,0.00225938,katz,0.03136513,0.00084937,0.09032554,0.05543217,0.00788927,0.04513835,0.73112500,0.38813168,54
aiohappyeyeballs,0.04315409,0.00000000,katz,0.03333334,0.00086101,0.08757451,0.05906933,0.00801594,0.04577427,0.72689600,0.38633513,55
aiosignal,0.04315409,0.00045188,katz,0.03333334,0.00085506,0.08757451,0.05906933,0.00795121,0.04574838,0.72667600,0.38621219,56
platformdirs,0.04066878,0.00000000,katz,0.03203460,0.00145942,0.08253095,0.05666932,0.01452711,0.04627784,0.72486500,0.38557142,57
pluggy,0.03592408,0.00000000,katz,0.04071311,0.00139568,0.07290234,0.07270683,0.01383361,0.04920642,0.72175900,0.38548271,58
pandas,0.03976502,0.00067781,katz,0.02743417,0.00128779,0.08069693,0.04816792,0.01265964,0.04209686,0.72354100,0.38281893,59
pyasn1,0.03795752,0.00000000,katz,0.03546427,0.00249154,0.07702889,0.06300721,0.02575744,0.05161272,0.71344600,0.38252936,60
greenlet,0.03750565,0.00000000,katz,0.05058185,0.00153036,0.07611188,0.09094384,0.01529902,0.05697792,0.70782900,0.38240346,61
opentelemetry-semantic-conventions,0.03682784,0.00000000,katz,0.05433583,0.00109513,0.07473636,0.09788102,0.01056337,0.05716780,0.70525000,0.38120890,62
shellingham,0.03773159,0.00000000,katz,0.04935284,0.00057909,0.07657038,0.08867267,0.00494845,0.05215741,0.70619300,0.37917520,63
opentelemetry-sdk,0.03592408,0.00112969,katz,0.04899805,0.00090885,0.07290234,0.08801704,0.00853643,0.05244612,0.70490900,0.37867756,64
sqlparse,0.04157253,0.00000000,katz,0.04519983,0.00317874,0.08436497,0.08099809,0.03323482,0.06273450,0.69385700,0.37829575,65
tenacity,0.03750565,0.00000000,katz,0.04303825,0.00052893,0.07611188,0.07700358,0.00440263,0.04774027,0.70756700,0.37765364,66
tzdata,0.03524627,0.00000000,katz,0.04318252,0.00101578,0.07152682,0.07727020,0.00970000,0.04880627,0.70494100,0.37687364,67
typer,0.03637596,0.00158156,katz,0.04424410,0.00050710,0.07381935,0.07923194,0.00416508,0.04785205,0.70325100,0.37555152,68
sniffio,0.03502033,0.00000000,katz,0.04274737,0.00084268,0.07106832,0.07646605,0.00781648,0.04765679,0.70147800,0.37456739,69
setuptools,0.03072752,0.00000000,katz,0.02161860,0.00213867,0.06235672,0.03742101,0.02191794,0.03745371,0.71165900,0.37455635,70
pyasn1-modules,0.03547221,0.00022594,katz,0.03082281,0.00106699,0.07198533,0.05442999,0.01025713,0.04114968,0.70331100,0.37223034,71
sqlalchemy,0.03434252,0.00045188,katz,0.04223190,0.00089757,0.06969280,0.07551349,0.00841380,0.04721844,0.69634600,0.37178222,72
pytz,0.03502033,0.00000000,katz,0.02448512,0.00131780,0.07106832,0.04271820,0.01298621,0.03791294,0.70462700,0.37126997,73
psutil,0.03411658,0.00000000,katz,0.03913834,0.00119773,0.06923430,0.06979673,0.01167972,0.04640932,0.69463500,0.37052216,74
isodate,0.03818346,0.00000000,katz,0.02834733,0.00166994,0.07748739,0.04985541,0.01681783,0.04354837,0.69449200,0.36902019,75
starlette,0.03050158,0.00090375,katz,0.04250140,0.00052654,0.06189821,0.07601151,0.00437661,0.04382922,0.69276400,0.36829661,76
pillow,0.03366471,0.00000000,katz,0.02402642,0.00148447,0.06831729,0.04187056,0.01479971,0.03765390,0.69888800,0.36827095,77
google-auth,0.03253502,0.00158156,katz,0.02631115,0.00080900,0.06602476,0.04609264,0.00745001,0.03561862,0.69846200,0.36704031,78
asgiref,0.03456846,0.00022594,katz,0.04006381,0.00307581,0.07015131,0.07150695,0.03211481,0.05541118,0.67410400,0.36475759,79
scipy,0.03140533,0.00022594,katz,0.02259715,0.00221435,0.06373223,0.03922933,0.02274142,0.03875989,0.68817400,0.36346695,80
pathspec,0.02779033,0.00000000,katz,0.03516081,0.00092387,0.05639615,0.06244642,0.00869990,0.03943524,0.68557800,0.36250662,81
azure-core,0.03434252,0.00135563,katz,0.02667321,0.00163540,0.06969280,0.04676171,0.01644194,0.04036658,0.68427400,0.36232029,82
filelock,0.02937189,0.00000000,katz,0.02278947,0.00070278,0.05960569,0.03958472,0.00629422,0.03127376,0.69111600,0.36119488,83
uvicorn,0.02733845,0.00067781,katz,0.03703617,0.00033700,0.05547914,0.06591201,0.00231425,0.03786469,0.68160700,0.35973584,84
regex,0.03004971,0.00000000,katz,0.02250840,0.00134357,0.06098120,0.03906532,0.01326662,0.03422481,0.68196000,0.35809241,85
websockets,0.02733845,0.00000000,katz,0.03426721,0.00043910,0.05547914,0.06079509,0.00342518,0.03651814,0.67678200,0.35665007,86
pyparsing,0.02711252,0.00000000,katz,0.02028912,0.00143633,0.05502063,0.03496419,0.01427587,0.03170297,0.67339700,0.35254999,87
pydantic-settings,0.02507908,0.00135563,katz,0.03309969,0.00029900,0.05089409,0.05863757,0.00190076,0.03400697,0.66551300,0.34975999,88
more-itertools,0.02394939,0.00000000,katz,0.03333550,0.00089718,0.04860156,0.05907332,0.00840946,0.03618984,0.66019300,0.34819142,89
opentelemetry-proto,0.02259376,0.00022594,katz,0.04287155,0.00042001,0.04585053,0.07669553,0.00321749,0.03959306,0.65366300,0.34662803,90
jmespath,0.02259376,0.00000000,katz,0.01724588,0.00082769,0.04585053,0.02934041,0.00765337,0.02479312,0.66506900,0.34493106,91
tabulate,0.02485314,0.00000000,katz,0.03257279,0.00043258,0.05043558,0.05766387,0.00335424,0.03413295,0.65394100,0.34403697,92
cachetools,0.01558970,0.00000000,katz,0.01460301,0.00064557,0.03163686,0.02445649,0.00567179,0.01873771,0.66923800,0.34398785,93
colorama,0.02281970,0.00000000,katz,0.01775785,0.00104808,0.04630903,0.03028651,0.01005140,0.02619810,0.65927300,0.34273555,94
google-api-core,0.02259376,0.00338906,katz,0.01723599,0.00060749,0.04585053,0.02932214,0.00525747,0.02382837,0.66067400,0.34225118,95
boto3,0.01581563,0.00000000,katz,0.01168991,0.00045599,0.03209537,0.01907322,0.00360896,0.01614305,0.66647900,0.34131103,96
itsdangerous,0.02372345,0.00000000,katz,0.03314656,0.00054988,0.04814305,0.05872417,0.00463057,0.03444145,0.64726300,0.34085222,97
distro,0.02327158,0.00000000,katz,0.01754627,0.00067032,0.04722604,0.02989552,0.00594107,0.02464637,0.65683900,0.34074269,98
grpcio-status,0.01897876,0.00090375,katz,0.01417278,0.00054624,0.03851444,0.02366145,0.00459095,0.01974650,0.66064000,0.34019325,99
iniconfig,0.01943064,0.00000000,katz,0.01486409,0.00105164,0.03943145,0.02493896,0.01009015,0.02262256,0.65711500,0.33986878,100
proto-plus,0.02304564,0.00022594,katz,0.01909646,0.00064463,0.04676754,0.03276020,0.00566153,0.02542257,0.65317000,0.33929628,101
babel,0.02485314,0.00000000,katz,0.03376521,0.00058116,0.05043558,0.05986741,0.00497095,0.03555087,0.64298000,0.33926543,102
fastapi,0.01965657,0.00225938,katz,0.03167485,0.00026964,0.03988996,0.05600451,0.00158133,0.03020660,0.64826900,0.33923780,103
pytest,0.01920470,0.00158156,katz,0.01351281,0.00093776,0.03897295,0.02244185,0.00885108,0.02113832,0.65688500,0.33901166,104
oauthlib,0.02214189,0.00000000,katz,0.01814412,0.00081802,0.04493352,0.03100031,0.00754818,0.02510276,0.65242200,0.33876238,105
botocore,0.01739720,0.00000000,katz,0.01382532,0.00060279,0.03530491,0.02301936,0.00520626,0.01896550,0.65709000,0.33802775,106
wcwidth,0.02169001,0.00000000,katz,0.01794616,0.00210918,0.04401651,0.03063450,0.02159706,0.03036502,0.64564500,0.33800501,107
python-multipart,0.02033439,0.00000000,katz,0.02995300,0.00025989,0.04126547,0.05282262,0.00147522,0.02939437,0.64642100,0.33790769,108
dnspython,0.01920470,0.00000000,katz,0.03156558,0.00091336,0.03897295,0.05580258,0.00858555,0.03270836,0.63408000,0.33339418,109
requests-oauthlib,0.01988251,0.00135563,katz,0.01532507,0.00067199,0.04034846,0.02579083,0.00595921,0.02149759,0.64448900,0.33299330,110
mako,0.02078626,0.00022594,katz,0.03291102,0.00035459,0.04218249,0.05828891,0.00250569,0.03194902,0.63163600,0.33179251,111
deprecated,0.02056033,0.00022594,katz,0.03090696,0.00048377,0.04172398,0.05458549,0.00391128,0.03110043,0.63145400,0.33127721,112
orjson,0.02169001,0.00000000,katz,0.01845016,0.00051035,0.04401651,0.03156586,0.00420051,0.02373238,0.63777900,0.33075569,113
opentelemetry-exporter-otlp-proto-common,0.01830095,0.00045188,katz,0.03601403,0.00027248,0.03713893,0.06402314,0.00161229,0.03233775,0.62764000,0.32998887,114
alembic,0.01965657,0.00135563,katz,0.02940897,0.00028757,0.03988996,0.05181728,0.00177639,0.02881909,0.62766900,0.32824405,115
watchfiles,0.01717126,0.00090375,katz,0.02782355,0.00021958,0.03484640,0.04888747,0.00103670,0.02623690,0.62834800,0.32729245,116
s3transfer,0.01581563,0.00112969,katz,0.01168991,0.00045599,0.03209537,0.01907322,0.00360896,0.01614305,0.63844100,0.32729203,117
joblib,0.02010845,0.00000000,katz,0.01587943,0.00077913,0.04080697,0.02681527,0.00712505,0.02243711,0.63057700,0.32650705,118
requests-toolbelt,0.01852689,0.00112969,katz,0.01601435,0.00045597,0.03759743,0.02706460,0.00360882,0.02031549,0.63194400,0.32612975,119
opentelemetry-exporter-otlp-proto-http,0.01604157,0.00338906,katz,0.02912560,0.00022053,0.03255387,0.05129362,0.00104694,0.02651001,0.61981500,0.32316251,120
lxml,0.01649345,0.00000000,katz,0.01177611,0.00158216,0.03347088,0.01923251,0.01586264,0.02144416,0.62476000,0.32310208,121
django,0.02259376,0.00067781,katz,0.01579507,0.00230995,0.04585053,0.02665937,0.02378168,0.03030608,0.61380200,0.32205404,122
pyarrow,0.01626751,0.00000000,katz,0.01202467,0.00063764,0.03301238,0.01969185,0.00558553,0.01737945,0.62570800,0.32154373,123
networkx,0.01717126,0.00000000,katz,0.01257885,0.00048370,0.03484640,0.02071593,0.00391051,0.01752638,0.62070300,0.31911469,124
dill,0.01626751,0.00000000,katz,0.02722225,0.00055352,0.03301238,0.04777630,0.00467017,0.02684287,0.61050200,0.31867243,125
text-unidecode,0.01852689,0.00000000,katz,0.03215315,0.00053521,0.03759743,0.05688839,0.00447093,0.03109867,0.60471900,0.31790883,126
opentelemetry-exporter-otlp-proto-grpc,0.01513782,0.00248531,katz,0.02853571,0.00021386,0.03071985,0.05020352,0.00097437,0.02564094,0.60929700,0.31746897,127
uvloop,0.01513782,0.00000000,katz,0.02644120,0.00023970,0.03071985,0.04633295,0.00125559,0.02439873,0.60670900,0.31555387,128
werkzeug,0.01581563,0.00022594,katz,0.01288259,0.00060429,0.03209537,0.02127724,0.00522263,0.01755993,0.61263900,0.31509946,129
python-slugify,0.01784907,0.00022594,katz,0.02898129,0.00028294,0.03622192,0.05102693,0.00172607,0.02760533,0.60125900,0.31443217,130
zstandard,0.01649345,0.00000000,katz,0.01487135,0.00052496,0.03347088,0.02495238,0.00435938,0.01884481,0.60892500,0.31388490,131
msgpack,0.01468595,0.00000000,katz,0.01132050,0.00076142,0.02980284,0.01839056,0.00693232,0.01666034,0.60897900,0.31281967,132
httptools,0.01423407,0.00000000,katz,0.02585130,0.00021919,0.02888583,0.04524286,0.00103244,0.02346943,0.60122900,0.31234922,133
soupsieve,0.01378220,0.00000000,katz,0.01177705,0.00066727,0.02796882,0.01923425,0.00590791,0.01608736,0.60787900,0.31198318,134
email-validator,0.01446001,0.00045188,katz,0.02590696,0.00021004,0.02934434,0.04534571,0.00093288,0.02358024,0.60029800,0.31193912,135
jsonpointer,0.01536376,0.00000000,katz,0.01478358,0.00050651,0.03117836,0.02479018,0.00415869,0.01813463,0.60508500,0.31160982,136
huggingface-hub,0.01468595,0.00497063,katz,0.01181539,0.00027663,0.02980284,0.01930510,0.00165743,0.01487047,0.60795500,0.31141273,137
beautifulsoup4,0.01355626,0.00045188,katz,0.01070641,0.00046826,0.02751032,0.01725575,0.00374246,0.01441407,0.60575300,0.31008354,138
hf-xet,0.01491188,0.00000000,katz,0.01299693,0.00028732,0.03026135,0.02148854,0.00177372,0.01579581,0.60329100,0.30954341,139
azure-mgmt-core,0.01943064,0.00158156,katz,0.01420672,0.00094637,0.03943145,0.02372417,0.00894469,0.02173920,0.59554200,0.30864060,140
jiter,0.01355626,0.00000000,katz,0.01118048,0.00025177,0.02751032,0.01813182,0.00138691,0.01377848,0.60272600,0.30825224,141
termcolor,0.01446001,0.00000000,katz,0.02578378,0.00068008,0.02934434,0.04511808,0.00604726,0.02554632,0.58797500,0.30676066,142
docstring-parser,0.01378220,0.00000000,katz,0.01037994,0.00029949,0.02796882,0.01665245,0.00190611,0.01358301,0.59818800,0.30588550,143
fonttools,0.01378220,0.00000000,katz,0.01101084,0.00046707,0.02796882,0.01781832,0.00372955,0.01472044,0.59704000,0.30588022,144
structlog,0.01468595,0.00022594,katz,0.02601645,0.00026008,0.02980284,0.04554805,0.00147734,0.02398347,0.58617200,0.30507773,145
aiosqlite,0.01581563,0.00000000,katz,0.02691650,0.00021428,0.03209537,0.04721130,0.00097903,0.02493941,0.58496400,0.30495170,146
blinker,0.01400813,0.00000000,katz,0.01171786,0.00051382,0.02842733,0.01912486,0.00423824,0.01549583,0.59373200,0.30461391,147
xxhash,0.01400813,0.00000000,katz,0.01326030,0.00029323,0.02842733,0.02197522,0.00183797,0.01553335,0.59277500,0.30415417,148
openai,0.01242657,0.00361500,katz,0.00957804,0.00022607,0.02521779,0.01517057,0.00110728,0.01205706,0.59576400,0.30391053,149
tomlkit,0.01242657,0.00000000,katz,0.00976048,0.00040544,0.02521779,0.01550772,0.00305895,0.01295573,0.59481700,0.30388636,150
prompt-toolkit,0.01287845,0.00022594,katz,0.01067326,0.00044568,0.02613480,0.01719449,0.00349686,0.01395051,0.58952600,0.30173826,151
torch,0.01468595,0.00000000,katz,0.01089402,0.00132729,0.02980284,0.01760245,0.01308942,0.01884734,0.58431100,0.30157917,152
contourpy,0.01310438,0.00022594,katz,0.01062898,0.00039666,0.02659331,0.01711266,0.00296339,0.01382311,0.58886400,0.30134356,153
threadpoolctl,0.01287845,0.00000000,katz,0.01055044,0.00060217,0.02613480,0.01696753,0.00519955,0.01455216,0.58627800,0.30041508,154
opentelemetry-exporter-otlp,0.01220063,0.00406688,katz,0.02438501,0.00017677,0.02475928,0.04253321,0.00057085,0.02130478,0.57927300,0.30028889,155
docutils,0.01197469,0.00000000,katz,0.00917415,0.00049974,0.02430078,0.01442420,0.00408506,0.01275769,0.58608000,0.29941884,156
flask,0.01242657,0.00180750,katz,0.00989361,0.00044737,0.02521779,0.01575374,0.00351518,0.01322433,0.58483000,0.29902716,157
cloudpickle,0.01287845,0.00000000,katz,0.01037924,0.00050346,0.02613480,0.01665116,0.00412553,0.01401182,0.58400300,0.29900741,158
kiwisolver,0.01242657,0.00000000,katz,0.01017595,0.00038668,0.02521779,0.01627549,0.00285487,0.01314282,0.58458200,0.29886241,159
matplotlib,0.01220063,0.00225938,katz,0.00925087,0.00035639,0.02475928,0.01456597,0.00252525,0.01229801,0.58428200,0.29829000,160
opentelemetry-instrumentation,0.01152282,0.00000000,katz,0.00889905,0.00052038,0.02338377,0.01391582,0.00430965,0.01244034,0.58344200,0.29794117,161
azure-common,0.01468595,0.00000000,katz,0.01089456,0.00068452,0.02980284,0.01760344,0.00609563,0.01605016,0.57951500,0.29778258,162
scikit-learn,0.01197469,0.00090375,katz,0.00921804,0.00048528,0.02430078,0.01450531,0.00392768,0.01272312,0.58214600,0.29743456,163
cycler,0.01242657,0.00000000,katz,0.01017595,0.00038668,0.02521779,0.01627549,0.00285487,0.01314282,0.58146400,0.29730341,164
jsonpatch,0.01265251,0.00022594,katz,0.01144763,0.00026214,0.02567630,0.01862549,0.00149979,0.01353791,0.57962400,0.29658095,165
argcomplete,0.01310438,0.00000000,katz,0.02492016,0.00025791,0.02659331,0.04352214,0.00145365,0.02246254,0.57001900,0.29624077,166
tzlocal,0.01197469,0.00000000,katz,0.00943039,0.00066294,0.02430078,0.01489772,0.00586080,0.01363372,0.57852400,0.29607886,167
mypy-extensions,0.01084501,0.00000000,katz,0.00968255,0.00052127,0.02200825,0.01536370,0.00431927,0.01260707,0.57856500,0.29558603,168
decorator,0.01107094,0.00000000,katz,0.00914759,0.00076679,0.02246676,0.01437513,0.00699079,0.01344430,0.57742600,0.29543515,169
marshmallow,0.01220063,0.00045188,katz,0.00999257,0.00051501,0.02475928,0.01593660,0.00425122,0.01346812,0.57529400,0.29438106,170
colorlog,0.01287845,0.00000000,katz,0.02482859,0.00025542,0.02613480,0.04335293,0.00142659,0.02227786,0.56598500,0.29413143,171
nest-asyncio,0.01265251,0.00000000,katz,0.01013739,0.00023975,0.02567630,0.01620422,0.00125614,0.01259301,0.57564600,0.29411950,172
uc-micro-py,0.01174876,0.00000000,katz,0.02643508,0.00037739,0.02384227,0.04632166,0.00275379,0.02327466,0.56466700,0.29397083,173
pendulum,0.01242657,0.00067781,katz,0.02445344,0.00019967,0.02521779,0.04265967,0.00082005,0.02156335,0.56489400,0.29322868,174
ruamel-yaml,0.01061907,0.00000000,katz,0.00817420,0.00059319,0.02154975,0.01257634,0.00510179,0.01182987,0.57330000,0.29256494,175
hyperframe,0.01129688,0.00000000,katz,0.00941272,0.00052570,0.02292526,0.01486507,0.00436752,0.01268110,0.57227000,0.29247555,176
hpack,0.01129688,0.00000000,katz,0.00941272,0.00052570,0.02292526,0.01486507,0.00436752,0.01268110,0.57223200,0.29245655,177
linkify-it-py,0.01152282,0.00022594,katz,0.02403189,0.00020400,0.02338377,0.04188067,0.00086708,0.02085101,0.56348800,0.29216950,178
sortedcontainers,0.01016719,0.00000000,katz,0.00837693,0.00063989,0.02063274,0.01295097,0.00560992,0.01193499,0.57222100,0.29207800,179
tiktoken,0.01107094,0.00135563,katz,0.00887675,0.00021621,0.02246676,0.01387462,0.00099994,0.01087278,0.57211400,0.29149339,180
h2,0.01107094,0.00045188,katz,0.00855702,0.00036891,0.02246676,0.01328377,0.00266150,0.01133061,0.57049500,0.29091280,181
rich-toolkit,0.01061907,0.00135563,katz,0.02552739,0.00017106,0.02154975,0.04464427,0.00050868,0.02121640,0.55914600,0.29018120,182
outcome,0.01220063,0.00022594,katz,0.02672702,0.00026284,0.02475928,0.04686114,0.00150740,0.02319418,0.55444500,0.28881959,183
smmap,0.00971532,0.00000000,katz,0.00949324,0.00051419,0.01971573,0.01501387,0.00424226,0.01188069,0.56545700,0.28866884,184
httpx-sse,0.01016719,0.00000000,katz,0.00835049,0.00020845,0.02063274,0.01290210,0.00091554,0.01004014,0.56656000,0.28830007,185
croniter,0.01129688,0.00045188,katz,0.02376911,0.00020807,0.02292526,0.04139505,0.00091144,0.02058416,0.55583700,0.28821058,186
universal-pathlib,0.01287845,0.00045188,katz,0.02490784,0.00018447,0.02613480,0.04349937,0.00065458,0.02202031,0.55408300,0.28805166,187
defusedxml,0.00994126,0.00000000,katz,0.00852202,0.00064147,0.02017423,0.01321910,0.00562714,0.01192110,0.56251500,0.28721805,188
traitlets,0.01016719,0.00000000,katz,0.01164625,0.00065897,0.02063274,0.01899254,0.00581756,0.01413260,0.56005300,0.28709280,189
aiofiles,0.01061907,0.00000000,katz,0.00832996,0.00036526,0.02154975,0.01286417,0.00262182,0.01093862,0.56319300,0.28706581,190
pydantic-extra-types,0.01197469,0.00112969,katz,0.02417971,0.00017509,0.02430078,0.04215382,0.00055257,0.02105006,0.55264400,0.28684703,191
gitdb,0.00948938,0.00022594,katz,0.00863022,0.00027794,0.01925722,0.01341904,0.00167166,0.01017963,0.56142800,0.28580382,192
markdown,0.01084501,0.00000000,katz,0.00859397,0.00061007,0.02200825,0.01335205,0.00528547,0.01228947,0.55918800,0.28573874,193
gitpython,0.00926344,0.00067781,katz,0.00784565,0.00021658,0.01879872,0.01196920,0.00100397,0.00929049,0.56188600,0.28558824,194
msrest,0.01129688,0.00225938,katz,0.00876916,0.00046998,0.02292526,0.01367580,0.00376116,0.01202231,0.55898300,0.28550266,195
msgspec,0.01174876,0.00000000,katz,0.02407022,0.00019850,0.02384227,0.04195148,0.00080722,0.02096648,0.54976900,0.28536774,196
