package,in_degree_centrality,out_degree_centrality,structural_metric,structural,pagerank,in_degree_centrality_norm,structural_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
rignore,0.00067781,0.00000000,katz,0.00180663,0.00012932,0.00137552,0.00080935,0.00005452,0.00064896,0.28587800,0.14326348,872
azure-cosmos,0.00067781,0.00158156,katz,0.00177926,0.00012695,0.00137552,0.00075877,0.00002876,0.00062095,0.28578300,0.14320198,873
dask,0.00067781,0.00225938,katz,0.00179295,0.00014042,0.00137552,0.00078406,0.00017531,0.00068843,0.28560100,0.14314471,874
fastar,0.00067781,0.00000000,katz,0.00180663,0.00012932,0.00137552,0.00080935,0.00005452,0.00064896,0.28493000,0.14278948,875
cyclonedx-python-lib,0.00067781,0.00158156,katz,0.00177926,0.00013236,0.00137552,0.00075877,0.00008763,0.00064450,0.28491100,0.14277775,876
llama-cloud-services,0.00045188,0.01468595,katz,0.00165608,0.00012751,0.00091701,0.00053114,0.00003480,0.00042907,0.28508500,0.14275704,877
pybreaker,0.00067781,0.00000000,katz,0.00180663,0.00013541,0.00137552,0.00080935,0.00012085,0.00067549,0.28471700,0.14269625,878
alibabacloud-tea-openapi,0.00090375,0.00610032,katz,0.00192981,0.00013618,0.00183402,0.00103698,0.00012915,0.00087311,0.28420300,0.14253805,879
apache-airflow-providers-http,0.00067781,0.03095346,katz,0.00177926,0.00012651,0.00137552,0.00075877,0.00002392,0.00061902,0.28344300,0.14203101,880
lupa,0.00067781,0.00000000,katz,0.00179295,0.00012710,0.00137552,0.00078406,0.00003035,0.00063044,0.28335700,0.14199372,881
keras,0.00067781,0.00271125,katz,0.00179295,0.00013123,0.00137552,0.00078406,0.00007531,0.00064842,0.28310700,0.14187771,882
azure-mgmt-resource,0.00067781,0.00203344,katz,0.00177926,0.00012753,0.00137552,0.00075877,0.00003511,0.00062349,0.28292500,0.14177425,883
pastedeploy,0.00112969,0.00000000,katz,0.00216947,0.00022893,0.00229253,0.00147985,0.00113838,0.00154643,0.28175600,0.14165122,884
pip-requirements-parser,0.00067781,0.00045188,katz,0.00177926,0.00013246,0.00137552,0.00075877,0.00008867,0.00064492,0.28257100,0.14160796,885
qrcode,0.00067781,0.00000000,katz,0.00179295,0.00014266,0.00137552,0.00078406,0.00019969,0.00069818,0.28251700,0.14160759,886
tf-keras,0.00090375,0.00022594,katz,0.00194350,0.00015737,0.00183402,0.00106228,0.00035975,0.00097420,0.28216100,0.14156760,887
google-cloud-logging,0.00045188,0.00564844,katz,0.00164240,0.00012880,0.00091701,0.00050585,0.00004887,0.00042585,0.28262200,0.14152392,888
thinc,0.00045188,0.00361500,katz,0.00166977,0.00013149,0.00091701,0.00055643,0.00007812,0.00045525,0.28250300,0.14147913,889
rtree,0.00090375,0.00000000,katz,0.00192981,0.00014399,0.00183402,0.00103698,0.00021417,0.00090712,0.28202300,0.14146506,890
snowflake-snowpark-python,0.00045188,0.00000000,katz,0.00164240,0.00012648,0.00091701,0.00050585,0.00002368,0.00041577,0.28246900,0.14144239,891
cached-property,0.00067781,0.00000000,katz,0.00179295,0.00013486,0.00137552,0.00078406,0.00011479,0.00066422,0.28202700,0.14134561,892
cloudpathlib,0.00045188,0.00022594,katz,0.00168619,0.00013257,0.00091701,0.00058678,0.00008988,0.00047058,0.28174100,0.14110579,893
pyathena,0.00067781,0.00203344,katz,0.00179295,0.00012781,0.00137552,0.00078406,0.00003808,0.00063353,0.28133800,0.14098577,894
configobj,0.00090375,0.00000000,katz,0.00194350,0.00013544,0.00183402,0.00106228,0.00012116,0.00087877,0.28106600,0.14097238,895
agent-client-protocol,0.00067781,0.00112969,katz,0.00179295,0.00012704,0.00137552,0.00078406,0.00002979,0.00063021,0.28119900,0.14091461,896
ua-parser-builtins,0.00067781,0.00000000,katz,0.00180663,0.00034274,0.00137552,0.00080935,0.00237673,0.00157785,0.28012000,0.14084892,897
pydub,0.00067781,0.00000000,katz,0.00179295,0.00012913,0.00137552,0.00078406,0.00005247,0.00063929,0.28077300,0.14070614,898
