package,in_degree_centrality,out_degree_centrality,betweenness,pagerank,in_degree_centrality_norm,betweenness_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
webencodings,0.00700407,0.00000000,0.00000000,0.00082131,0.01421366,0.00000000,0.00758396,0.00658700,0.52055257,0.26534321,237
cron-descriptor,0.01016719,0.00022594,0.00000000,0.00016489,0.02063274,0.00000000,0.00044156,0.00533481,0.52227901,0.26524320,238
executing,0.00700407,0.00000000,0.00000000,0.00031861,0.01421366,0.00000000,0.00211414,0.00439907,0.52316747,0.26496764,239
pygtrie,0.01107094,0.00000000,0.00000000,0.00021777,0.02246676,0.00000000,0.00101692,0.00602346,0.51913589,0.26420138,240
parso,0.00677813,0.00000000,0.00000000,0.00044090,0.01375516,0.00000000,0.00344481,0.00481672,0.52006125,0.26373579,241
antlr4-python3-runtime,0.00835969,0.00000000,0.00000000,0.00039163,0.01696470,0.00000000,0.00290874,0.00540467,0.51888287,0.26359888,242
backoff,0.00677813,0.00000000,0.00000000,0.00026149,0.01375516,0.00000000,0.00149262,0.00403584,0.52011536,0.26316217,243
snowflake-connector-python,0.00158156,0.00542250,0.00000143,0.00014683,0.00320954,0.23300971,0.00024508,0.08245381,0.39878469,0.26281836,244
toml,0.00632625,0.00000000,0.00000000,0.00031699,0.01283815,0.00000000,0.00209654,0.00404815,0.51713383,0.26168088,245
apache-airflow-providers-common-compat,0.00948938,0.02869408,0.00000003,0.00015874,0.01925722,0.00416089,0.00037463,0.00642047,0.51328944,0.26158354,246
apache-airflow,0.00948938,0.02869408,0.00000003,0.00015874,0.01925722,0.00416089,0.00037463,0.00642047,0.51315163,0.26151464,247
aiosmtplib,0.00994126,0.00000000,0.00000000,0.00016403,0.02017423,0.00000000,0.00043218,0.00521643,0.51496576,0.26149552,248
jedi,0.00655219,0.00022594,0.00000000,0.00023832,0.01329665,0.00000000,0.00124060,0.00382040,0.51709068,0.26148411,249
asttokens,0.00655219,0.00000000,0.00000000,0.00031363,0.01329665,0.00000000,0.00206001,0.00414817,0.51541110,0.26089645,250
uuid6,0.00994126,0.00000000,0.00000000,0.00016121,0.02017423,0.00000000,0.00040152,0.00520417,0.51363579,0.26082110,251
docker,0.00587438,0.00112969,0.00000000,0.00017553,0.01192114,0.00000000,0.00055739,0.00320324,0.51647438,0.26070122,252
jaraco-functools,0.00564844,0.00022594,0.00000000,0.00025241,0.01146263,0.00000000,0.00139390,0.00342322,0.51470488,0.25998569,253
jaraco-context,0.00564844,0.00022594,0.00000000,0.00022600,0.01146263,0.00000000,0.00110649,0.00330825,0.51436150,0.25972556,254
google-crc32c,0.00587438,0.00000000,0.00000000,0.00035781,0.01192114,0.00000000,0.00254065,0.00399655,0.51317898,0.25966376,255
dataclasses-json,0.00700407,0.00112969,0.00000000,0.00018448,0.01421366,0.00000000,0.00065472,0.00381530,0.51145487,0.25866228,256
jeepney,0.00542250,0.00000000,0.00000000,0.00024385,0.01100413,0.00000000,0.00130068,0.00327130,0.51171468,0.25837373,257
pyzmq,0.00655219,0.00000000,0.00000000,0.00021293,0.01329665,0.00000000,0.00096425,0.00370986,0.51053263,0.25812006,258
ipython,0.00542250,0.00384094,0.00000010,0.00018751,0.01100413,0.01664355,0.00068773,0.00885137,0.50157914,0.25759832,259
toolz,0.00700407,0.00000000,0.00000000,0.00085665,0.01421366,0.00000000,0.00796845,0.00674080,0.50465337,0.25751191,260
python-json-logger,0.00632625,0.00000000,0.00000000,0.00017103,0.01283815,0.00000000,0.00050839,0.00341289,0.50965940,0.25745500,261
cadwyn,0.00971532,0.00316313,0.00000000,0.00015980,0.01971573,0.00000000,0.00038619,0.00508341,0.50701487,0.25741775,262
mpmath,0.00587438,0.00000000,0.00000000,0.00077322,0.01192114,0.00000000,0.00706073,0.00580458,0.50578338,0.25735675,263
apache-airflow-providers-smtp,0.00948938,0.02869408,0.00000003,0.00015874,0.01925722,0.00416089,0.00037463,0.00642047,0.50446852,0.25717308,264
wirerope,0.00994126,0.00022594,0.00000000,0.00022772,0.02017423,0.00000000,0.00112516,0.00549362,0.50585958,0.25715565,265
a2wsgi,0.00971532,0.00022594,0.00000000,0.00015980,0.01971573,0.00000000,0.00038619,0.00508341,0.50394546,0.25588304,266
